Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
Townhouse,Las Pinas City,2,2,2,54,55,1,no,yes,20000,3858000
Townhouse,Las Pinas City,2,2,2,42,38,1,no,yes,20000,3153000
Townhouse,Las Pinas City,2,2,2,47,48,1,yes,yes,20000,3650000
Townhouse,Las Pinas City,2,2,2,42,38,1,yes,yes,20000,2937000
Townhouse,Quezon City,3,2,2,89,50,1,no,yes,0,4902643
Townhouse,Manila City,3,1,2,60,165,1,yes,yes,50000,4200000
Townhouse,Las Pinas City,2,1,2,67,54,1,no,no,20000,4200000
House and Lot,Marikina City,3,2,2,88,53,1,yes,yes,25000,4961000
House and Lot,Las Pinas City,2,2,2,43,54,1,no,no,0,3500000
House and Lot,Las Pinas City,2,2,1,49,66,1,yes,yes,20000,4228000
House and Lot,Las Pinas City,2,2,2,98,56,1,no,yes,50000,3994000
House and Lot,Las Pinas City,3,2,2,100,60,1,yes,yes,50000,4999999
House and Lot,Las Pinas City,2,2,2,46,64,1,yes,yes,20000,4065000
Townhouse,Las Pinas City,2,2,2,98,56,0,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,48,67,1,yes,yes,20000,3784000
House and Lot,Las Pinas City,2,2,2,94,51,1,yes,yes,50000,4915000
House and Lot,Las Pinas City,2,2,2,48,60,1,no,no,0,3699000
House and Lot,Las Pinas City,2,2,2,94,51,1,yes,yes,50000,4915000
House and Lot,Las Pinas City,2,2,2,94,56,1,no,no,50000,4990000
Townhouse,Muntilupa City,2,2,2,52,60,1,yes,yes,20000,3900000
House and Lot,Las Pinas City,2,2,2,54,43,1,no,no,0,3500000
House and Lot,Caloocan City,3,2,2,76,74,1,no,no,0,4681600
House and Lot,Las Pinas City,3,2,2,78,58,1,no,no,30000,4987000
Townhouse,Las Pinas City,2,2,2,100,50,1,yes,yes,0,4500000
Townhouse,Las Pinas City,2,2,2,57,98,1,no,yes,50000,3994000
House and Lot,Las Pinas City,2,2,2,100,50,1,no,no,0,4500000
House and Lot,Las Pinas City,2,2,2,94,56,1,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,78,24,1,yes,yes,20000,3250000
Townhouse,Las Pinas City,2,2,2,98,56,1,yes,yes,50000,3994000
House and Lot,Marikina City,3,2,1,88,53,1,yes,yes,0,5000000
House and Lot,Las Pinas City,2,2,2,94,56,1,yes,yes,50000,4990000
House and Lot,Las Pinas City,2,2,2,46,39,1,yes,no,20000,4052000
House and Lot,Las Pinas City,2,1,2,67,52,1,no,yes,20000,3900000
Townhouse,Muntilupa City,2,2,2,46,41,1,yes,yes,0,2990000
House and Lot,Las Pinas City,2,2,2,49,66,1,yes,yes,20000,4228000
